,Category,Org Name,Contact,Address,Location
53,General,Intercultural Mutual Assistance Association,(507) 289-5960  Fax: (507) 289-6199,2500 Valleyhigh Dr NW,"Rochester, MN 55901"
54,General,Midwest Educators of Color Association,"(763) 350-9040 ",PO Box 2224,"Maple Grove, MN 55311"
55,General,Minneapolis Urban League,(612) 302-3100  Fax: (612) 521-1444,"Glover Sudduth Center for Economic Development and Urban Affairs, 2100 Plymouth Ave N","Minneapolis, MN 55411"
56,General,"Minnesota Department of Health, Office of Minority and Multicultural Health",(651) 201-5813  Fax: (651) 201-4986,"Orville Freeman Building, 625 N Robert St, P.O. Box 64975","St. Paul, MN 55164"
57,General,Minnesota Department of Human Rights,"(651) 296-5663 ","190 E 5th St, Suite 700","St. Paul, MN 55101"
58,General,Minnesota Educators of Color Association,"(763) 350-9040  ",P.O. Box 2224,"Maple Grove, MN 55311"
62,General,Minnesota Minority Education Partnership,(651) 645-7400,"Wright Building, 2233 University Ave W, Suite 220","St. Paul, MN 55114"
64,General,Multicultural Development Center,"(952) 881-6090  Fax: (952) 887-6099 ",9633 Lyndale Ave S,"Bloomington, MN 55420"
66,General,Resource Center of the Americas,"(612) 276-0788  Fax: (612) 276-0898  ","3019 Minnehaha Ave, Suite 20","Minneapolis, MN 55406"
67,General,United Nations Association of Minnesota,"(612) 879-7512 ",2104 Stevens Ave S,"Minneapolis, MN 55404"
68,General,United Way of Central Minnesota,(320) 252-0227  Fax: (320) 252-6213,"2700 1st St N, Suite 300","St. Cloud, MN 56303"
